iter	Passed	Remaining
0	5	496
1	8	411
2	10	355
3	12	299
4	14	273
5	16	253
6	17	236
7	19	221
8	20	209
9	22	198
10	23	188
11	24	179
12	25	172
13	27	166
14	28	159
15	29	153
16	30	147
17	31	142
18	32	137
19	33	133
20	34	129
21	35	125
22	36	121
23	37	117
24	38	114
25	40	116
26	41	113
27	42	109
28	43	106
29	44	103
30	45	100
31	46	97
32	46	95
33	47	92
34	48	89
35	49	87
36	50	85
37	50	83
38	51	80
39	52	79
40	53	77
41	54	75
42	55	73
43	56	71
44	56	69
45	57	67
46	58	65
47	59	64
48	60	62
49	60	60
50	61	59
51	62	57
52	63	56
53	64	54
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	70	44
61	71	43
62	71	42
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	77	33
70	78	32
71	79	31
72	81	30
73	82	28
74	83	27
75	84	26
76	85	25
77	85	24
78	86	23
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	91	16
85	92	15
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
